pose_label,image_path,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
Warrior2,../../data_clean/Warrior2/Images/00000428.jpg,173.59347178743727,171.86989764584402,263.08877288097534,257.5500034921934,181.8509876919341,246.3917518638877,180.62959860841028,233.06679212631687,94.15698407081041,27.58380180871585,276.54508208807425,91.16660308915453
Warrior2,../../data_clean/Warrior2/Images/00000366.jpg,188.7461622625552,172.40535663140855,264.14398641457103,249.77514056883192,183.8313403993887,123.6900675259798,184.7636416907262,147.80897105360287,231.34019174590992,93.17983011986423,177.26808203395157,175.2282805172065
Warrior2,../../data_clean/Warrior2/Images/00000372.jpg,182.85054765601754,175.59820041918724,98.16274021990125,106.95817984775545,157.6682501896941,84.73487632739227,190.158858405797,132.0662806213523,270.9911775750108,332.21607358779073,79.15265315704653,262.4542611898542
Warrior2,../../data_clean/Warrior2/Images/00000414.jpg,183.8530477615798,175.97173633351485,99.4878807117449,111.99740340664215,183.8785245028477,109.69632636711063,191.1532800153869,114.8054451038303,271.36996565778077,329.8897106016889,76.22582802408014,268.7093255800043
Warrior2,../../data_clean/Warrior2/Images/00000158.jpg,169.64593640545854,174.62029840087462,81.09217465158041,78.08725219924773,229.59093117650156,181.28526660693834,159.49733592600825,124.52549017799195,219.98333639390123,278.32565033042687,107.14134148163826,273.86749123136593
Warrior2,../../data_clean/Warrior2/Images/00000170.jpg,179.9046660122497,335.85445803957833,104.46206825122601,106.80431614905748,111.22765118863529,202.95619164572025,183.58949674083817,220.9586441455685,139.25094959892692,330.77194805685485,139.82111966843772,166.7048085560686
Warrior2,../../data_clean/Warrior2/Images/00000010.jpg,181.10932320895478,173.6598082540901,103.99580573815874,96.25403274391647,264.06056926918023,184.8645144377605,183.90049374238188,87.2744049974901,239.38413509807245,286.40677214690265,94.10703053412547,286.19667448154416
Warrior2,../../data_clean/Warrior2/Images/00000004.jpg,179.6085746326323,185.09539820084902,108.67474344887921,96.63694858661336,184.07009507739818,122.22958501413616,184.70258410734823,116.72955473649236,256.7791221065024,328.49886702321146,82.59126277488969,267.8509450545025
Warrior2,../../data_clean/Warrior2/Images/00000212.jpg,176.34777721969368,181.24536426676835,87.04647160267713,101.28344344238316,180.57164796564672,97.42342916889669,177.63133301915622,122.72611679962034,269.3947854027552,331.51864537579075,74.65235690500266,269.0768660763969
Warrior2,../../data_clean/Warrior2/Images/00000206.jpg,186.43473915103672,179.5659493678606,73.15943038886608,96.01985126864894,174.9443015221528,103.0773557114352,158.1346800220139,131.62728040992025,275.7333747583719,328.8923523134875,68.65649473984648,279.76093788826387
Warrior2,../../data_clean/Warrior2/Images/00000207.jpg,194.4702941000659,180.1571896728786,102.36649715321482,103.3553409629074,173.1150286407043,95.48129659469735,186.8090501796134,127.52390490483903,261.0850730428521,331.64503821467594,81.18913136299729,257.05248483653236
Warrior2,../../data_clean/Warrior2/Images/00000005.jpg,188.62016215086973,176.9059419410829,111.76359881464325,96.18811611783423,237.18173060092334,184.0890014550367,186.0677891413972,99.34803866683403,226.3583534699887,283.0940392148314,92.37480755403291,269.258742290297
Warrior2,../../data_clean/Warrior2/Images/00000011.jpg,178.3582137776073,173.93944920914316,254.8824546216823,266.3204507615495,186.87386755045227,242.34984734117447,181.73231991386658,231.85578556922619,101.4138420073854,24.45706444258636,271.44071222961264,94.48974608012828
Warrior2,../../data_clean/Warrior2/Images/00000171.jpg,175.49911770559316,169.21570213243743,107.8976639971225,94.63546342690265,257.9052429229879,191.84566960388827,187.1250163489018,83.99099404250548,238.16622903685078,276.01985126864895,89.07255551460712,293.56052537577324
Warrior2,../../data_clean/Warrior2/Images/00000165.jpg,179.64523190535556,182.5521922994205,106.48501433246638,98.61878544416828,180.36295483412283,103.63485587286435,185.0424510691709,111.53172343206263,266.1449264038248,326.888658039628,75.0029204191221,268.2073401700632
Warrior2,../../data_clean/Warrior2/Images/00000359.jpg,180.95692113164117,189.9880310105741,97.54069790332525,96.91122711902469,179.49353116299096,105.75770036977882,176.20650924224927,121.05054195421131,276.58825545805075,328.1340223063963,77.09175558942951,277.76516601842536
Warrior2,../../data_clean/Warrior2/Images/00000173.jpg,181.94148639091438,173.65980825409008,107.16320297211702,102.68038349181978,240.0304305234333,185.63068275763524,190.68343169759927,97.61193759671491,231.34019174590992,284.987123453863,93.94053077515396,274.5432458215223
Warrior2,../../data_clean/Warrior2/Images/00000167.jpg,181.01972011157437,175.76360520094116,108.70082060142562,99.72871935618628,255.0082847205403,182.53076301763542,189.16350474670784,89.68056409296298,236.09166389364805,281.3099324740202,91.97493401088197,278.88818190151824
Warrior2,../../data_clean/Warrior2/Images/00000007.jpg,181.29774067673898,186.54774843153734,98.86630865752947,108.16146269225513,183.3664606634298,108.08344538304866,184.49674252565748,129.10742242495064,266.89818718934225,327.6215874859461,89.16068123204688,264.50013569064294
Warrior2,../../data_clean/Warrior2/Images/00000205.jpg,157.63215490484745,205.4841269904173,93.57899040037618,82.71242190658442,236.10015481363598,191.50481532625884,165.7543940795586,118.4568571299797,204.47190199139723,291.0542568321971,120.72539792998322,232.80627721561285
Warrior2,../../data_clean/Warrior2/Images/00000204.jpg,175.67440704196065,180.22315672753413,97.93653626789275,99.43271636017028,253.52910922547238,189.44263631994502,183.46822925891712,92.89285714370845,234.65587308770444,284.27306677967255,92.51086170903372,278.3929251873925
Warrior2,../../data_clean/Warrior2/Images/00000238.jpg,173.93659730626786,182.32577315032202,101.60921124700397,103.38085345363442,254.2052279716344,201.16405037690367,183.23693010901764,87.13365682941603,231.91412235624267,286.0988435375074,85.32457345052056,280.91189468594877
Warrior2,../../data_clean/Warrior2/Images/00000012.jpg,178.02506598911802,186.43328566894652,99.30994017498604,100.81640233535308,178.61497536507216,96.46745892779151,180.59732792753417,114.73599718161564,271.930587441167,331.6333978573689,73.6824532368014,265.9030693842071
Warrior2,../../data_clean/Warrior2/Images/00000199.jpg,180.0,177.0643265535788,93.3664606634298,107.4027041313563,162.5146180335138,112.10944834375167,190.29118184238237,145.30484646876604,257.16315343344866,325.7729976679498,102.16793500294496,254.48589315517526
Warrior2,../../data_clean/Warrior2/Images/00000166.jpg,296.3975201354761,55.619655276155136,35.56794497326514,36.321831114759256,177.08299271337228,104.10493517403087,95.27920914107804,119.48205846370571,264.7800609516921,309.6377674667317,139.62447173221332,210.96375653207352
