pose_label,image_path,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
Tree,data/Tree/Images\00000000.jpg,324.35789502199253,34.517054223387525,25.373334628258238,16.675563400660053,186.628270923417,24.145541960421653,20.947470586951155,38.37493413410624,70.76050700868821,175.26735133519776,240.70863782901571,312.2378716866212,194.8186186697629,138.75495964082015
Tree,data/Tree/Images\00000001.jpg,320.9771395650555,34.05326887025494,37.97314078869477,31.524499866586385,180.33375804725284,26.33768816608743,8.540114934778897,37.405356631408544,95.63469216581932,178.26906092545082,236.23090386274012,307.9685276977999,194.05345974731011,153.31225997508292
Tree,data/Tree/Images\00000002.jpg,248.70264595096626,105.96683090909347,53.44752724790847,47.563770211465005,182.82980759288714,30.59291524124546,5.934273757072495,33.7066126538806,113.83874018317172,175.3225821411183,240.51224983900738,313.38439352311303,136.21708987493267,214.68528685671242
Tree,data/Tree/Images\00000003.jpg,163.75085198385358,187.9675406096422,158.72626333607263,157.04528470210255,183.17983011986425,31.759480084812793,358.86816376307905,35.39479584498705,273.5963510662991,179.65895772114115,244.70797884297872,315.0,174.55881232281445,187.80109000944162
Tree,data/Tree/Images\00000004.jpg,311.48439664649123,49.472959638383415,35.8180109325887,24.22774531795417,186.6430741025812,37.205670879488565,10.736472483840876,26.412938845483353,79.77783136636388,170.01010725567858,248.04944782356924,311.7377184857045,185.2713759292258,145.49147701233161
Tree,data/Tree/Images\00000005.jpg,323.1154374505824,42.9261286324243,37.69660025991326,19.995598107141223,183.94518622903755,29.125714699442394,11.258912202988112,33.458202651174524,78.9545755292015,177.72130317695428,241.6164791230882,311.00908690157024,190.99958218387914,148.9780357878028
Tree,data/Tree/Images\00000006.jpg,304.24097150519833,54.15610295469226,32.87967097514545,38.26192729225551,330.8950087714834,176.66366329778668,331.79695437588015,347.18125267095644,91.86262094930669,120.51399847486611,181.45999613827178,312.8814738428628,211.85799889132787,166.87083367965133
Tree,data/Tree/Images\00000007.jpg,160.20112364547506,199.32521378045595,185.19442890773482,184.09081697777444,184.4570089337362,33.00916502096075,10.234802763423215,22.311447463318494,319.3360185315257,179.09472442108424,243.434948822922,312.9208682780952,188.62044267631603,159.77876298644819
Tree,data/Tree/Images\00000008.jpg,306.84346970513843,51.06559436330506,35.05555324207855,37.905250832388965,330.5592845550121,173.3920729153879,331.4473997568357,353.3680895604071,93.66778805553143,122.67347134281144,183.38986580081792,308.05223221021953,206.5118517684914,165.2861619725113
Tree,data/Tree/Images\00000009.jpg,342.3091103799667,53.389945377767916,19.17900802581072,11.460314752091804,325.9516519150995,182.9988863852859,320.15476413074623,2.9636206574018695,54.56353763931574,113.4286928087454,189.68725655130092,293.9624889745782,192.34919770340446,168.49451954970894
Tree,data/Tree/Images\00000010.jpg,111.78947783731289,242.98142969696403,167.2002230268571,162.07004897697635,184.41303288145684,55.44592086578687,358.9812493683621,15.892830980337354,285.1830032225581,179.088716605519,236.2376623565542,311.8201698801358,190.6396101948474,173.01239706888833
Tree,data/Tree/Images\00000011.jpg,309.1947316332638,48.75015721297752,37.76975736074842,40.546142907002206,331.1394686228027,172.1747367683654,333.3980552159714,354.8055710922652,96.91328124656523,121.13598781545146,185.18150553375455,305.829575162211,200.77225468204585,166.0285267729807
Tree,data/Tree/Images\00000012.jpg,106.96614810853615,242.29244939987768,161.96571443287013,169.8325669490241,172.16810058580714,71.6330176689383,357.4087349389551,15.631234391322206,293.8615205100749,186.09010837868354,229.18934290248066,302.00538320808346,189.8426005604932,172.50247518596058
Tree,data/Tree/Images\00000014.jpg,164.23026238582503,196.31385242626055,184.22067657677707,188.13010235415598,329.6208739886316,177.20631167993122,331.3050956206566,343.47587853346937,319.4117064393,118.13338344547327,180.43680815353073,319.7216770159695,206.19420988624992,171.56608631617448
Tree,data/Tree/Images\00000015.jpg,315.77730925255344,44.63506366426936,31.26549271785932,20.045249425420998,188.10646223191895,28.99945014898985,3.017820513614617,33.918385524989205,74.05460409907714,173.4447319702897,239.57814783733215,311.3477772196936,190.8822100149662,157.91510628726118
Tree,data/Tree/Images\00000016.jpg,165.1007511275641,180.94208618295355,173.73183719610438,175.96076153231212,316.3674145145689,178.83383475875033,341.9947961220298,355.5383223895328,305.46200238012545,121.64092611261755,174.9722602740987,315.1404305509373,185.20848577190645,176.27290868802714
Tree,data/Tree/Images\00000017.jpg,168.56631873457331,194.18818772038523,36.97276248956805,41.42744029918609,333.1050343529477,180.63191312182096,325.1630035785588,354.98781201293167,93.76945463521939,115.75047412731828,186.0623160100722,309.53503257138846,107.88387392530132,259.98785383879925
Tree,data/Tree/Images\00000018.jpg,319.6354634269027,34.71016028298957,28.703733754744288,14.927774493959546,185.8192855266692,23.63949708405091,2.7642234103015024,44.422570484417214,69.69071659331988,173.07118669997047,240.65761755798366,315.27257539137963,192.41764983705514,159.16483671622134
Tree,data/Tree/Images\00000019.jpg,313.069412558833,45.13081205470472,41.88415174021061,26.862946826470623,179.170207309303,29.374040006114157,10.48762761053821,33.496738942313065,90.1765657878009,178.20097867502903,238.6224269112834,311.8201698801358,190.78933190880133,149.47981483436064
Tree,data/Tree/Images\00000020.jpg,323.21278018928587,39.053136946026505,34.51379738510476,23.714503521060433,192.87500155961249,31.225828024080148,7.616948293795803,30.976608882578713,80.08420468328542,167.7352262721076,239.13910831165052,309.7225939170928,188.01988802002444,150.43964553531927
Tree,data/Tree/Images\00000022.jpg,307.35662192852044,49.21417852273404,35.453233078596156,38.059510483359695,331.4934624320076,178.29261150771126,329.2894573977884,349.77042562153053,92.91083782616775,116.06246951035696,178.65737597346225,309.3789247845855,208.77980630439723,162.76707522555196
Tree,data/Tree/Images\00000023.jpg,158.91624541761934,208.83824155136028,191.9508239663301,174.0938588862295,183.77819770716158,29.577838681261333,4.074461059805669,34.680581868396274,312.10664639041283,176.934990927856,240.4221613187387,316.97493401088195,189.35892798481922,165.23631967975922
Tree,data/Tree/Images\00000024.jpg,125.63155391689415,233.73344258699257,166.13897243697886,174.92629526993701,329.93141717813756,175.15433147982668,324.5550766266714,355.0490472366915,294.3684816116192,118.22097255586786,183.75015721297754,316.78991060824603,197.1293265000252,171.91799819101212
Tree,data/Tree/Images\00000025.jpg,308.3443928909144,60.151086535015665,36.91941861839892,31.293038995920195,331.6166458584702,174.5962086397503,330.2341925609959,351.18648139627726,84.96621304379995,113.59132009459788,184.18491612511843,305.07998703759796,201.2749699717067,157.7645398815088
Tree,data/Tree/Images\00000026.jpg,157.4218437027236,204.03527115358378,183.1911713270623,186.85732821249903,330.3408907640049,177.16413697991723,331.0444480453684,351.41023790451527,313.8857356630569,115.41928833890289,186.80456968273884,312.87890360333853,201.67927934002827,176.11536641525652
Tree,data/Tree/Images\00000027.jpg,305.5890180824569,59.18538615800546,34.26194009158278,31.819699847248724,328.88778349741153,181.96526057192054,323.21920924889906,1.3736142585358084,86.36064785508476,112.10818964912285,182.40628609676347,307.4954474086277,197.63864325033865,164.08473902908437
